0       0        0       0        bar0
6529.6       6529.6        6529.6       0        bar101         volume:0.16943834
6529.6       6529.6        6529.6       0        bar101         volume:0.19443834
6529.6       6529.6        6529.6       0        bar101         volume:0.21943833999999998
6529.6       6529.6        6529.6       0        bar101         volume:0.26943834
6529.6       6529.6        6529.6       0        bar101         volume:0.31943834
6529.6       6529.6        6529.6       0        bar101         volume:0.32786075
6529.6       6529.6        6529.4       6529.4        bar101         volume:0.33986075
6527.8       6527.8        6527.8       6527.8        bar102         volume:0.002
6529.5       6529.5        6529.5       0        bar103         volume:0.00976987
6529.5       6529.5        6529.5       0        bar103         volume:0.03476987
6529.5       6529.5        6529.5       0        bar103         volume:0.04157759
6529.5       6529.5        6529.5       0        bar103         volume:0.05664309
6529.5       6529.5        6529.5       0        bar103         volume:0.06657763
6529.5       6529.5        6529.5       6529.5        bar103         volume:0.25000003
6529.5       6529.5        6529.5       0        bar103         volume:0.21657763
6527.8       6527.8        6527.8       6527.8        bar104         volume:0.008
6529.4       6529.4        6529.4       0        bar105         volume:0.219474
6529.4       6529.4        6528       6528.2        bar105         volume:0.229474
6529.4       6529.4        6528       0        bar105         volume:0.222474
6528.5       6528.5        6528.5       6528.5        bar106         volume:0.006
6528.5       6528.5        6528.5       0        bar107         volume:0.004
6528.5       6529.4        6528.5       6529.4        bar107         volume:0.0227714
6529       6529        6529       0        bar108         volume:0.004
6529       6529.1        6529       6529.1        bar108         volume:0.007
6529       6529.4        6529       6529.4        bar109         volume:0.418596
6529.4       6529.4        6529.4       0        bar110         volume:0.0225329
6529       6529        6529       0        bar109         volume:0.002
6529.4       6529.6        6529.4       0        bar110         volume:0.0745329
6529.4       6530        6529.4       0        bar110         volume:0.3912469
6527.5       6527.5        6527.5       6527.5        bar85         volume:0.15
6529.4       6529.4        6529.4       0        bar111         volume:0.007
6529.4       6530        6529.2       6530        bar110         volume:0.3992929
6529.4       6529.5        6529.4       0        bar111         volume:0.159
6529.4       6530        6529.2       0        bar110         volume:0.3962469
6529.7       6529.7        6529.7       0        bar112         volume:0.102815
6529.4       6529.5        6529.4       6529.5        bar111         volume:0.29212
6529.7       6529.7        6529.6       6529.6        bar112         volume:0.150916
6529.6       6529.6        6529.6       0        bar113         volume:0.149084
6529.6       6529.6        6529.5       0        bar113         volume:0.154084
6529.4       6529.5        6529.4       0        bar111         volume:0.157
6529.6       6529.6        6529.6       0        bar113         volume:0.15000016
6529.6       6530        6529.5       0        bar113         volume:4.154084
6529.6       6530        6529.5       6530        bar113         volume:9.554084
6530       6530        6530       0        bar114         volume:0.116578
6530       6530        6530       0        bar114         volume:0.291578
6530       6530        6530       0        bar114         volume:0.266578
6530       6530        6530       0        bar114         volume:0.316578
6530       6530        6530       0        bar114         volume:0.36657800000000007
6530       6530        6530       0        bar114         volume:0.34157800000000005
6530       6530        6530       0        bar114         volume:0.3915780000000001
6530       6530        6530       0        bar114         volume:0.5020252600000001
6530       6530        6530       0        bar114         volume:0.4165780000000001
6530       6530        6530       0        bar114         volume:0.5000004000000001
6530       6530        6530       6530        bar114         volume:0.5040501200000002
6530       6530        6530       0        bar115         volume:1.841516
6530       6530        6530       6530        bar115         volume:3.5415159999999997
6527       6527        6521.1       0        bar86         volume:3.548175
6529.9       6529.9        6529.9       6529.9        bar116         volume:0.004
6529.9       6529.9        6529.9       0        bar118         volume:0.002
6530       6530        6530       6530        bar117         volume:0.2
6529.9       6530        6529.9       0        bar118         volume:1.60024
6529.9       6530        6529.9       0        bar118         volume:3.8900699999999997
6529.9       6530        6529.9       6530        bar118         volume:6.036669999999999
6533.5       6533.5        6533.5       6533.5        bar119         volume:0.005
6535       6535        6535       6535        bar120         volume:0.48
6534.4       6534.4        6534.4       0        bar121         volume:0.275241
6534.4       6534.4        6534.4       0        bar121         volume:0.6462410000000001
6534.4       6534.4        6534.4       0        bar121         volume:1.076
6534.4       6534.4        6534       0        bar121         volume:1.52
6536.4       6536.4        6536.4       6536.4        bar122         volume:0.002
6534.4       6540.1        6534       6540.1        bar121         volume:1.523
6536.7       6536.7        6536.7       6536.7        bar123         volume:0.004
6539.2       6539.2        6539.2       6539.2        bar124         volume:0.1
6536.4       6536.4        6536.4       6536.4        bar125         volume:0.002
6539.4       6539.4        6539.4       0        bar126         volume:0.002
6539.4       6539.4        6539.4       6539.4        bar126         volume:0.004
6536.3       6536.3        6536.3       0        bar127         volume:0.004
6536.3       6537        6536.3       6537        bar127         volume:0.276714
6537.2       6537.2        6537.2       6537.2        bar128         volume:0.466892
6537.1       6537.1        6537.1       6537.1        bar129         volume:1
6537.1       6537.1        6537.1       6537.1        bar130         volume:0.8
6537.2       6537.2        6537.2       6537.2        bar131         volume:0.002
6537.2       6537.2        6537.2       6537.2        bar132         volume:0.121108
6537.2       6537.2        6537.2       6537.2        bar133         volume:0.002
6541.1       6541.1        6541.1       6541.1        bar134         volume:0.0942278
6540.4       6540.4        6540.4       6540.4        bar135         volume:0.003
6541       6541        6541       6541        bar136         volume:0.002
6540.4       6540.4        6540.4       6540.4        bar137         volume:0.003
6541       6541        6541       6541        bar138         volume:0.032
6543.8       6543.8        6543.8       6543.8        bar139         volume:0.0681284
6543.6       6543.6        6543.6       6543.6        bar140         volume:0.0840276
6544.2       6544.2        6544.2       6544.2        bar141         volume:0.0999171
6543.3       6543.3        6543.3       0        bar142         volume:1
6543.3       6543.3        6543       0        bar142         volume:3.72229
6543.3       6543.3        6542       6542        bar142         volume:3.72429
6541.7       6541.7        6541.7       6541.7        bar143         volume:0.0361685
6542       6542        6542       6542        bar144         volume:0.002
6542       6542        6542       6542        bar145         volume:0.002
6541.7       6541.7        6541.7       0        bar146         volume:0.0439462
6541.7       6541.7        6541.6       6541.6        bar146         volume:1.4999962
6542       6542        6542       6542        bar147         volume:0.016175
6542       6542        6542       6542        bar148         volume:0.002
6542       6542        6542       0        bar149         volume:3.92
6542       6542        6542       0        bar149         volume:5.82
6542       6542        6542       0        bar149         volume:5.83
6542       6542        6542       6542        bar149         volume:6.253539
6550.4       6550.4        6550.4       0        bar150         volume:0.208354
6550.4       6554.7        6550.4       0        bar150         volume:0.21269166
6550.4       6554.7        6550.4       0        bar150         volume:0.25269166
6550.4       6554.7        6550.4       0        bar150         volume:0.50269166
6550.4       6554.7        6550.4       0        bar150         volume:1.50269166
6550.4       6554.7        6550.4       0        bar150         volume:1.80269166
6550.4       6554.7        6549.6       0        bar150         volume:1.87082006
6550.4       6554.7        6549.4       0        bar150         volume:1.91204756
6550.4       6554.7        6549       6549        bar150         volume:2.41204756
6549       6549        6549       0        bar151         volume:0.25
6549       6549        6549       0        bar151         volume:0.25433766
6549       6549        6549       0        bar151         volume:0.29433766
6549       6549        6549       0        bar151         volume:1.25633766
6549       6549        6549       0        bar151         volume:3.25633766
6549       6549        6549       0        bar151         volume:3.29633766
6549       6549        6549       0        bar151         volume:4.89633766
6549       6549        6549       6549        bar151         volume:7.19633766
6549       6549        6549       0        bar152         volume:0.04
6549       6549        6549       0        bar152         volume:0.08
6549       6549        6548.9       0        bar152         volume:0.1296852
6549       6549        6548.9       6549        bar152         volume:0.1462873
6549       6549        6549       6549        bar153         volume:0.122
6549       6549        6549       6549        bar154         volume:0.381367
6555       6555        6555       6555        bar155         volume:0.01
6555       6555        6555       6555        bar156         volume:1.54052
6555       6555        6555       0        bar157         volume:4.54993
6555       6555        6555       6555        bar157         volume:5.4494869999999995
6557.2       6557.2        6557.2       6557.2        bar158         volume:0.002005
6557.7       6557.7        6557.7       6557.7        bar159         volume:0.0399193
6557.6       6557.6        6557.6       6557.6        bar160         volume:0.002
6557.6       6557.6        6557.6       6557.6        bar161         volume:0.040501
6557.6       6557.6        6557.6       6557.6        bar162         volume:0.010721
6557.6       6557.6        6557.6       6557.6        bar163         volume:0.5
6557.2       6557.2        6557.2       6557.2        bar164         volume:0.106977
6557.9       6557.9        6557.9       0        bar165         volume:1
6557.9       6558        6557.9       6558        bar165         volume:2.1
6558       6558        6558       0        bar166         volume:4.2
6558       6558        6558       0        bar166         volume:2.4
6558       6558        6557.7       0        bar166         volume:4.5
6558       6558        6557.7       0        bar166         volume:4.695972
6558       6558        6557.7       0        bar166         volume:4.6999996
6558       6558        6557.7       0        bar166         volume:4.9004176
6558       6558        6557.7       6558        bar166         volume:5.5999996
6557.7       6557.7        6557.7       0        bar167         volume:0.1
6557.7       6557.7        6557.7       0        bar167         volume:0.2
6557.7       6557.7        6557.7       6557.7        bar167         volume:0.49
6558       6558        6558       0        bar168         volume:0.00041802
6558       6560        6558       0        bar168         volume:0.01565802
6558       6564.5        6558       0        bar168         volume:0.03021302
6558       6564.5        6558       0        bar168         volume:0.20471302000000002
6558       6564.5        6558       0        bar168         volume:0.03471302
6558       6564.5        6558       0        bar168         volume:0.45471302
6558       6564.5        6558       0        bar168         volume:0.5162163200000001
6558       6565        6558       0        bar168         volume:0.6662163200000001
6558       6565.1        6558       0        bar168         volume:0.8162163200000001
6558       6567.1        6558       0        bar168         volume:1.13095932
6558       6567.1        6558       0        bar168         volume:2.13095932
6558       6567.1        6558       0        bar168         volume:3.86121932
6558       6567.1        6558       6567.1        bar168         volume:5.03471932
6563.9       6563.9        6563.9       6563.9        bar169         volume:0.017198
6563.8       6563.8        6563.8       0        bar170         volume:0.015866
6563.8       6563.8        6563.8       6563.8        bar170         volume:0.019437660000000002
6566.6       6566.6        6566.6       0        bar171         volume:0.15
6566.6       6568.9        6566.6       0        bar171         volume:0.27
6566.6       6569        6566.6       0        bar171         volume:0.444904
6566.6       6569        6566.6       0        bar171         volume:0.5200001000000001
6566.6       6569        6566.6       0        bar171         volume:2.2813601
6566.6       6569        6566.6       0        bar171         volume:0.5400001000000001
6566.6       6569        6565.9       0        bar171         volume:2.5315041000000003
6566.6       6569        6565.9       0        bar171         volume:2.5715041000000003
6566.6       6569        6565.9       0        bar171         volume:3.2598241000000003
6566.6       6569        6565.9       0        bar171         volume:3.2626491000000004
6566.6       6569        6565.9       0        bar171         volume:3.2813598000000006
6566.6       6569        6565.9       0        bar171         volume:3.299824100000001
6566.6       6569        6565.9       0        bar171         volume:3.339824100000001
6566.6       6569        6565.9       0        bar171         volume:3.344161760000001
6566.6       6569        6565.9       0        bar171         volume:3.384161760000001
6566.6       6569        6565.9       0        bar171         volume:3.634161760000001
6566.6       6569        6565.9       0        bar171         volume:3.764161760000001
6566.6       6570.5        6565.9       6570.5        bar171         volume:3.784161760000001
6571.8       6571.8        6571.8       0        bar172         volume:0.15
6571.8       6572        6571.7       6571.7        bar172         volume:1.1930882
6571.8       6572        6571.8       0        bar172         volume:0.1930882
6571       6571        6571       6571        bar173         volume:0.04
6571       6571        6571       6571        bar174         volume:0.89
6571       6571        6571       0        bar175         volume:0.15
6571       6571        6571       0        bar175         volume:1.15
6571       6571        6571       0        bar175         volume:2.15
6571       6571        6571       0        bar175         volume:2.98
6571       6571        6571       0        bar175         volume:3.07
6571       6571        6571       0        bar175         volume:3.1495802999999998
6571       6571        6571       0        bar175         volume:3.1832467999999996
6571       6571        6571       0        bar175         volume:3.7608527999999994
6571       6571        6571       0        bar175         volume:4.3695797999999995
6571       6571.6        6571       0        bar175         volume:5.0699998
6571       6571.6        6570.9       6570.9        bar175         volume:5.128614
6567.2       6567.2        6567.2       6567.2        bar176         volume:0.01
6567.2       6567.2        6567.2       0        bar177         volume:0.01
6567.2       6567.2        6564.3       0        bar177         volume:0.28700000000000003
6567.2       6567.2        6563.9       6563.9        bar177         volume:0.31000000000000005
6563.9       6563.9        6563.9       6563.9        bar178         volume:0.02128
6563.9       6563.9        6563.9       0        bar179         volume:0.0913068
6563.9       6566.9        6563.9       0        bar179         volume:0.2876598
6563.9       6567.2        6563.9       0        bar179         volume:1.2676598000000001
6563.9       6567.5        6563.9       0        bar179         volume:1.4576598
6563.9       6567.3        6563.9       0        bar179         volume:1.4176598
6563.9       6569.3        6563.9       0        bar179         volume:1.4980795
6563.9       6569.3        6563.9       0        bar179         volume:1.50241716
6563.9       6569.3        6563.9       0        bar179         volume:1.54241716
6563.9       6569.3        6563.9       0        bar179         volume:1.58241716
6563.9       6569.3        6563.9       0        bar179         volume:1.59130689
6563.9       6569.3        6563.9       6563.9        bar179         volume:2.10818889
6566.4       6566.4        6566.4       6566.4        bar180         volume:0.5
6564.5       6564.5        6564.5       6564.5        bar181         volume:0.008
6564.5       6564.5        6564.5       6564.5        bar182         volume:0.008
6564.4       6564.4        6564.4       6564.4        bar183         volume:0.15
6564.5       6564.5        6564.5       6564.5        bar184         volume:0.00285009
6564.3       6564.3        6564.3       6564.3        bar185         volume:0.023657
6562.1       6562.1        6562.1       6562.1        bar186         volume:0.004219
6559.9       6559.9        6559.9       6559.9        bar189         volume:0.366353
6563       6563        6563       6563        bar191         volume:0.01081
6562       6562        6562       6562        bar192         volume:0.0143446
6559.4       6559.4        6559.4       6559.4        bar193         volume:0.179535
6559.4       6559.4        6559.4       6559.4        bar194         volume:0.00046538
6561.5       6561.5        6561.5       6561.5        bar195         volume:0.02
6561.2       6561.2        6561.2       6561.2        bar196         volume:0.11
6560.1       6560.1        6560.1       6560.1        bar197         volume:0.15
6560.2       6560.2        6560.2       6560.2        bar198         volume:0.2
6560.2       6560.2        6560.2       6560.2        bar199         volume:0.784133
6559.5       6559.5        6559.5       6559.5        bar200         volume:1
6559.9       6559.9        6559.9       6559.9        bar201         volume:0.352036
6555.6       6555.6        6555.6       6555.6        bar202         volume:0.108979
6555.6       6555.6        6555.6       6555.6        bar203         volume:0.00028078
6559.3       6559.3        6559.3       6559.3        bar204         volume:0.00960633
6555.7       6555.7        6555.7       6555.7        bar205         volume:0.0102163
6556.5       6556.5        6556.5       6556.5        bar207         volume:0.20493
